Tag,Twitter,Pronouns,Staff Page Blurb,Staff Page Profile Link,Staff Page Pic URL
Pride,@izzatrash,he/him,grim is the best operator in r6,https://twitter.com/@izzatrash,https://dl.airtable.com/.attachments/1fe86cd61a85ca89bbfe2365f8eed81d/917f68d8/Rhw8TedcRt6CprFVuVgo
prk,@prkista,he/him,"Ahoj, Hello, Ola, see me at Buttonczech!",https://twitter.com/@prkista,
ProXY,@proxytcg,he/him,,,
Puddin,@LordPudin,he/him,,,
Pudding Squeaks,@PuddingSqueaks,"she/her,it/its",She goes woof,https://twitter.com/@PuddingSqueaks,
Pullman,,he/him,TO/Bracket runner. Feeding the hungry wolves one match a time.,,
Quoz13,@quoz13,he/him,,,
Rafa,@rafa_leonmone,he/him,,,
RagnarokF4,@Ragnarok_F4,he/him,"Fighting games enthusiast, competitor and TO!",https://twitter.com/@Ragnarok_F4,
Raikon,@RaikonDrgn,he/him,Puzzle loving dragon,https://twitter.com/@RaikonDrgn,
RainbowCatcherBM,@RCBlackmore,he/him,,,
Raiser,@raiser606,he/him,Appalachia’s fighting game hype man.,https://twitter.com/@raiser606,https://dl.airtable.com/.attachments/f2e3049e087947b5c145710fae01b2dd/e5fbdcd9/jfRv1KH6TPS4eM1rWxRV
Raph,@RaphTX,he/him,,,
Rau,@rauofthedawn,he/him,,,
Readek,@readeku,,"Owner of both EU and ESP RoA Communities, youtuber, streamer, and most importantly, production guy for tournament streams, making the overlays and programming the tools, bringing that production value to the top!",https://twitter.com/Readeku,https://dl.airtable.com/.attachments/f52986e58f4bef29a92e2b39bc066ad1/12f9acdf/aaiQV6TnOqdtYtWGJfyQ
Red,@RedBerserker98,he/him,"Messi, Racing y BBTAG",https://twitter.com/@RedBerserker98,
RedMufflerMan,@RedMufflerMan,he/him,,,
Reis,,he/him,,,
Reisen,@ReisenUdonge02,he/him,Hello,https://twitter.com/@ReisenUdonge02,https://dl.airtable.com/.attachments/df3531ebf3fa599020925007733c0a44/ef7460c3/SrbniEFS2acbQmF4sAL7
Reshar,@ResharTheTyrant,he/him,"The Rat. Commentator and newbie TO, player of many games and enjoyer of big buttons.",https://twitter.com/@ResharTheTyrant,https://dl.airtable.com/.attachments/2da6eeee4d1c8b3afa1b3e70ce508d10/8dcf815b/3pmochd4QNychNxTLihK
RetroMary_VT,@RetroMary_VT,"she/her,it/its",My name is RetroMary; an office elf VTuber. I try to play games with my community on my own streams; but I also LOVE to commentate for Fighting games,https://twitch.tv/RetroMary_VT,https://dl.airtable.com/.attachments/0e4f19a7284f5e62d34faea4dd371b0e/dc15a5eb/Yi4E3mLrQbCwBVA90iiC
Ripha,@Ripha_,he/him,ARMS nice,https://twitter.com/@Ripha_,https://dl.airtable.com/.attachments/77d11fb67354a1f398d7dd59367dfd68/df7e0c6e/LL0ugCkuQCO8NBl4vbuS
Risky,@risky_b_s,he/him,,,
Risky Sweep,@johannhat,he/him,"John Hurst is probably doing too much at the moment. When he is not doing enough, he's probably commentating FGC events whether it be local or major. If he's still not doing too much, he's probably also running brackets or busy being head TO for Scruffy City FGC in Knoxville, TN. If that still isn't enough, he also  produces local comedy and a co-host of the weekly podcast called Video Death Loop which has been running for six years straight and featured by several podcast networks and sponsors. 

He has heard sleep is pretty great but think it's just a passing fad that will ""soon run through its course"", so he probably won't do that.",https://twitter.com/@johannhat,https://dl.airtable.com/.attachments/947af778a57a2708c7558d79bbe6b1bf/0374e58b/0AlL4Z05TXS36KjhhmWu
Robo-Railway,@RoboForte,"she/her,they/them",It's me Robo T. Railway! Big grappler guy and one of the cool peeps who run and commentate BBCF brackets in OCE!,https://twitter.com/@RoboForte,
Rolldodge,@rolldodge_,"he/him,they/them","Sometimes TO, mostly staff. ",https://twitter.com/@rolldodge_,https://dl.airtable.com/.attachments/1bb564765af39868ee8fc6781a5b2352/24d4c12b/wTKUl8uTEuoUmVr4kB1y
Roman5ive5ive,@Roman5ive5ive,any,,,
Ruric,@rur1c,he/him,Just a dude that loves to press buttons.,,
Rygand,@DankRygand,he/him,,,
Ryoma,@rockmom_RYOMA,he/him,,,
Ryou,@distantWarrior,he/him,,,
SabinDeus,@SabinDeus,he/him,"SabinDeus leads Team DEUS, an organization sponsoring Soulcalibur players from New York, and runs online Soucalibur VI tournaments for the New York/Northeast NA region. ",https://twitter.com/@SabinDeus,
SailorVick,@TheSailorVick,he/him,"FGC, Tales JRPGs & Speedrun/TAS enthusiast! 
Also stream & TO for Asuka 120% & some other obscure games ~",https://twitter.com/TheSailorVick,https://dl.airtable.com/.attachments/44dd30e2a010a74c910a2a1761dd1790/3c5c8e7d/CW2ga15RS8KIPSWf8hY8
SakiSakuraTV,@SakiSakuraTV,she/her," A commentator, player, and content creator for Dynamik Focus, she also works with various communities to volunteer in helping lead and organize tournaments!",,
Sakurina,@Sakurina,he/him,"When I'm not playing through every WonderSwan game, I'm getting stomped in Rivals of Aether and on Fightcade.",https://r-ch.net,https://dl.airtable.com/.attachments/24ed0d60d218ba0e638143ba14682ec9/57ddfe1f/sakurina.png
Salazio,@LFC_Salazio,he/him,,,
Samifish,@Samifish11,he/him,,,
SamThaGawd,,he/him,,,
SBS,@SBSarizona,he/him,I am the Esports manager for Rivals of Aether and am the head T.O. for the RCS.,https://twitter.com/@SBSarizona,
Scrub Saibot,@ScrubSaibot,he/him,I like trains. Follow @EdmontonFGC and @XboxFighters,https://twitter.com/@ScrubSaibot,https://dl.airtable.com/.attachments/1d2553d90d6c89a72ba02c2b36bbac1c/7d8d80df/mxk6oSqbRXaR6nNCsWlI
SeaJay,@SeaJay4444,he/him,"Skullgirls Oceania community person. Sydney, Australia",https://twitter.com/SeaJay4444,https://dl.airtable.com/.attachments/8cbe06d71062d77688e26a0e19d6b5c4/8c6e6d63/BkKm7NnPTJOUZc439TwX
Sen Wolf,@xSenWolfxTtv,he/him,,,
Sencer_,@SencerAr_,he/him,Current owner of the KHK Takeover discord community for SEA MBAACC just trying to help out in any way that I can,https://twitter.com/@SencerAr_,https://dl.airtable.com/.attachments/b186b453c1c292168ce0ef69f8614853/a42471e1/SmnRisu4RLS1YLJ7bLbJ
Senp,@uSenp_,he/him,You should watch Vtubers,https://twitter.com/@uSenp_,
Shaco Arrombardo,@BrunoValente16,he/him,Millia player <3,https://twitter.com/@BrunoValente16,https://dl.airtable.com/.attachments/4a7689333b93e1a1ad800b614e851e5e/2c8390b1/nO6Av6NxQTuDjyRoaxBa
Shaydo,@shaydogaming,he/him,"Guam based former TO, Event Organizer, Commentator and Streamer. Mostly focusing on consultation and commentary now!",https://twitter.com/@shaydogaming,
Shiburizu,@shiburizu,he/him,"956Pro Tech, Mizuumi Wiki & SuperCombo.gg chief editor.",https://twitter.com/shiburizu,https://dl.airtable.com/.attachments/911ff099d5ee8892d2bb450eedeac32d/2fbfd80f/staff_shiburizu.jpg
Shinespark,@Shinespark7677,he/him,BBCF player and commentator. I'm also learning Tekken 7.,https://twitter.com/@Shinespark7677,
ShinJay SHINJ4Y,@shinj4y_,he/him,"Happy to be a part of Vortex Gallery 2023 and had the honor of hosting FEXL AD for the community in 2021 I'm here again but supporting Phantom Breaker Omnia for the NA and mainly the Japan Community. 

Good Luck to all players in your respective games and once again Thank You ",https://twitter.com/SHINJ4Y_,https://dl.airtable.com/.attachments/64bc88249ecc07dff9d82717a429298d/80504d72/c8eWRhRSIG9jVuWjsDEj
ShiroAoi,@Shiro_Rodrigo,he/him,"I'm Shiro Aoi, and I'm a big enthusiast of fighting games. I'm the founder of Brazilian communities of GBVS and DNF Duel, both for consoles.",https://twitter.com/Shiro_Rodrigo,https://dl.airtable.com/.attachments/d251fee657f943f6895f8efda3d4770a/fdac230d/shiroaoi.jpg
